"","ubica_geo","promedio_gasto"
"1",1001,239.969812176166
"2",1002,196.406196319018
"3",1003,272.320470588235
"4",1004,197.442222222222
"5",1005,299.513448275862
"6",1006,170.073511450382
"7",1007,247.425545454545
"8",1009,175.629285714286
"9",1010,186.718910891089
"10",1011,245.004956521739
"11",2001,149.662960451977
"12",2002,188.463536842105
"13",2003,201.003911564626
"14",2004,172.508316400581
"15",2005,290.368679245283
"16",3001,109.133932926829
"17",3002,97.6260109289617
"18",3003,176.961740890688
"19",3008,181.852880539499
"20",3009,166.740178571429
"21",4001,325.468245614035
"22",4002,351.329473684211
"23",4003,207.987561904762
"24",4004,204.571336633663
"25",4005,303.336086956522
"26",4006,268.787356321839
"27",4007,742.396666666667
"28",4009,228.263835616438
"29",4010,335.893636363636
"30",4011,128.940486486486
"31",5002,75.2476190476191
"32",5003,140.659836065574
"33",5004,123.978163265306
"34",5006,59.1609523809524
"35",5007,13.44875
"36",5009,63.685
"37",5010,191.283137254902
"38",5011,69.4312195121951
"39",5014,230.386315789474
"40",5017,102.793940298507
"41",5018,258.128229813665
"42",5019,258.792272727273
"43",5020,99.9723913043478
"44",5022,164.445641025641
"45",5024,55.7775454545455
"46",5025,145.396294416244
"47",5026,10.9142105263158
"48",5027,122.393392857143
"49",5028,507.147
"50",5029,3.913
"51",5030,189.236413276231
"52",5032,117.138837209302
"53",5033,136.029545454545
"54",5035,126.768402366864
"55",5036,187.14023255814
"56",6001,157.720075757576
"57",6002,180.815825426945
"58",6003,271.326
"59",6004,143.19064
"60",6005,170.665662251656
"61",6006,121.3934375
"62",6007,244.369656084656
"63",6008,82.5550980392157
"64",6009,149.663131313131
"65",6010,189.918412017167
"66",7001,30.1765
"67",7002,90.4638095238095
"68",7004,70.6460869565217
"69",7005,154.994444444444
"70",7008,115.875
"71",7009,285.84225
"72",7011,144.777368421053
"73",7013,65.3935
"74",7015,75.1833333333333
"75",7016,350.168636363636
"76",7017,308.707619047619
"77",7018,38.15
"78",7019,211.704365079365
"79",7021,328.512051282051
"80",7023,206.966428571429
"81",7027,290.578333333333
"82",7031,42.6209523809524
"83",7032,59.4907894736842
"84",7034,115.104358974359
"85",7037,177.697
"86",7038,179.55
"87",7039,90.65
"88",7041,140.92
"89",7043,242.930952380952
"90",7046,140.717209302326
"91",7047,161.9584
"92",7050,374.099166666667
"93",7051,61.5216216216216
"94",7052,51.06
"95",7054,52.5127272727273
"96",7057,148.832571428571
"97",7059,171.5746875
"98",7061,53.4761111111111
"99",7064,47.669756097561
"100",7065,141.187236842105
"101",7068,254.297
"102",7069,59.4
"103",7074,779.8605
"104",7078,215.283493975904
"105",7079,47.1759090909091
"106",7080,145.6575
"107",7086,87.995652173913
"108",7087,178.096857142857
"109",7089,170.901208791209
"110",7090,752.036
"111",7092,25.139
"112",7093,276.786842105263
"113",7096,56.539
"114",7097,46.2685
"115",7100,24.456
"116",7101,220.830936329588
"117",7102,238.365714285714
"118",7104,258.721904761905
"119",7106,113.983333333333
"120",7107,213.674857142857
"121",7108,95.4303174603175
"122",7109,71.6652173913044
"123",8001,553.313548387097
"124",8002,33.6417073170732
"125",8003,109.005714285714
"126",8005,655.0625
"127",8006,116.76696969697
"128",8007,10.051724137931
"129",8008,0
"130",8009,100.67875
"131",8010,213.4
"132",8011,82.1264516129032
"133",8012,50.217037037037
"134",8013,110.0495
"135",8014,9.7821052631579
"136",8016,0
"137",8017,68.279595959596
"138",8018,4.07583333333333
"139",8019,255.230468187275
"140",8020,58.5824137931034
"141",8021,72.1485483870968
"142",8026,208.985789473684
"143",8027,14.0422580645161
"144",8028,115.966666666667
"145",8029,11.4126666666667
"146",8030,0
"147",8031,67.0480769230769
"148",8032,23.8758474576271
"149",8034,207.735714285714
"150",8035,237.576279069767
"151",8036,0
"152",8037,251.463822861469
"153",8038,0
"154",8040,100.383085106383
"155",8042,0
"156",8043,173.518125
"157",8045,6.8475
"158",8047,0
"159",8048,209.500540540541
"160",8050,285.696666666667
"161",8051,1.20384615384615
"162",8052,60.1341176470588
"163",8053,54.2675
"164",8054,457.859642857143
"165",8055,46.2022950819672
"166",8056,0
"167",8059,7.91904761904762
"168",8060,64.3592105263158
"169",8062,31.3364238410596
"170",8063,66.1182352941176
"171",8065,0
"172",8067,0
"173",9002,355.923542857143
"174",9003,470.23276119403
"175",9004,364.471891891892
"176",9005,112.808757763975
"177",9006,402.65900990099
"178",9007,364.791813953488
"179",9008,199.589727272727
"180",9009,152.200148148148
"181",9010,623.882847222222
"182",9011,310.573407821229
"183",9012,446.864384236453
"184",9013,192.404768683274
"185",9014,379.787264957265
"186",9015,172.939785714286
"187",9016,348.078
"188",9017,335.512816901408
"189",10001,99.4575609756098
"190",10004,147.714392523364
"191",10005,268.589578163772
"192",10006,271.847105263158
"193",10007,181.767631103074
"194",10010,254.200487804878
"195",10012,116.482361111111
"196",10013,218.29262295082
"197",10014,62.27875
"198",10015,199.929
"199",10016,283.467441860465
"200",10018,89.4385714285714
"201",10020,107.4585
"202",10022,190.843636363636
"203",10023,18.2
"204",10024,102.915897435897
"205",10026,115.971098901099
"206",10027,361.952
"207",10031,160.33
"208",10032,204.779206349206
"209",10034,236.203333333333
"210",10035,147.030833333333
"211",10036,191.687
"212",10037,934.004285714286
"213",10038,313.074186046512
"214",11001,83.7157954545455
"215",11002,29.835
"216",11003,112.549032258065
"217",11004,92.0117647058824
"218",11005,197.946086956522
"219",11007,194.820331950207
"220",11008,180.903454545455
"221",11009,317.543255813953
"222",11010,308.313333333333
"223",11011,72.3776136363636
